country,department,month,revenue,interest_income,fee_income,operating_expenses,loan_loss_provisions,net_income,tax,net_profit_after_tax
USA,Accounting,2020-10-01,41069893.92,24862828.47,16207065.45,32723645.63,980745.48,7365502.81,1841375.7,5524127.11
USA,Accounting,2020-11-01,39166563.97,23599990.24,15566573.73,33217060.66,622170.41,5327332.9,1331833.23,3995499.67
USA,Accounting,2020-12-01,43154929.17,26054425.94,17100503.23,31247541.63,1395010.44,10512377.1,2628094.28,7884282.82
USA,Accounting,2021-01-01,44050719.16,26080392.13,17970327.03,30588590.55,959824.17,12502304.44,3125576.11,9376728.33
USA,Accounting,2021-02-01,46660449.87,28264933.02,18395516.85,33086373.17,696987.23,12877089.47,3219272.37,9657817.1
USA,Accounting,2021-03-01,48066151.84,29408857.27,18657294.57,31631568.67,2084359.93,14350223.24,3587555.81,10762667.43
USA,Accounting,2021-04-01,47708079.14,28519944.69,19188134.45,33386666.31,1975616.94,12345795.89,3086448.97,9259346.92
USA,Accounting,2021-05-01,50172210.19,29563566.26,20608643.93,32426641.11,2415661.98,15329907.1,3832476.78,11497430.32
USA,Accounting,2021-06-01,47623955.43,29227482.09,18396473.34,33045910.05,1299278.25,13278767.13,3319691.78,9959075.35
USA,Accounting,2021-07-01,46273569.36,28449510.1,17824059.26,30841959.7,2189544.55,13242065.11,3310516.28,9931548.83
USA,Accounting,2021-08-01,42976310.5,25338960.04,17637350.46,32049443.13,1115860.31,9811007.06,2452751.76,7358255.3
USA,Accounting,2021-09-01,43399329.25,26050743.99,17348585.26,33845512.74,1470436.62,8083379.89,2020844.97,6062534.92
USA,Accounting,2021-10-01,40284922.17,23911390.15,16373532.02,33766558.64,1699025.05,4819338.48,1204834.62,3614503.86
USA,Accounting,2021-11-01,41433366.24,24228140.1,17205226.14,31790545.02,1104302.47,8538518.75,2134629.69,6403889.06
USA,Accounting,2021-12-01,42526456.12,25405370.15,17121085.97,32006011.23,2002347.38,8518097.51,2129524.38,6388573.13
USA,Accounting,2022-01-01,45349023.98,27516348.78,17832675.2,33654873.91,1966065.84,9728084.23,2432021.06,7296063.17
USA,Accounting,2022-02-01,47311219.31,27886281.29,19424938.02,33429629.21,1426556.6,12455033.5,3113758.38,9341275.12
USA,Accounting,2022-03-01,50489281.39,30688404.05,19800877.34,32376417.34,1447128.95,16665735.1,4166433.78,12499301.32
USA,Accounting,2022-04-01,52264613.4,31970166.93,20294446.47,34275989.81,577883.81,17410739.78,4352684.94,13058054.84
USA,Accounting,2022-05-01,50385418.06,31051909.13,19333508.93,31795033.1,2331532.38,16258852.58,4064713.14,12194139.44
USA,Accounting,2022-06-01,49798770.91,30120905.63,19677865.28,32623581.9,1734769.55,15440419.46,3860104.86,11580314.6
USA,Accounting,2022-07-01,48387670.91,29057309.49,19330361.42,31627288.44,2119587.75,14640794.72,3660198.68,10980596.04
USA,Accounting,2022-08-01,43628509.99,25598288.93,18030221.06,33044426.44,1767819.4,8816264.15,2204066.04,6612198.11
USA,Accounting,2022-09-01,43319717.09,25662718.83,17656998.26,31850059.42,901353.08,10568304.59,2642076.15,7926228.44
USA,Accounting,2022-10-01,42714139.1,26517745.99,16196393.11,33606792.79,1831480.0,7275866.31,1818966.58,5456899.73
USA,Accounting,2022-11-01,43349804.73,25881164.62,17468640.11,34570349.36,644078.71,8135376.66,2033844.16,6101532.5
USA,Accounting,2022-12-01,44901652.93,27020082.14,17881570.79,34142636.37,1709087.42,9049929.14,2262482.28,6787446.86
USA,Accounting,2023-01-01,47256603.62,28302213.41,18954390.21,35044551.94,730403.26,11481648.42,2870412.1,8611236.32
USA,Accounting,2023-02-01,50991745.53,30898693.25,20093052.28,32384590.46,1791318.53,16815836.54,4203959.14,12611877.4
USA,Accounting,2023-03-01,52935356.78,31493235.09,21442121.69,34632050.93,1849908.46,16453397.39,4113349.35,12340048.04
USA,Accounting,2023-04-01,50255637.31,30320360.9,19935276.41,32499300.17,2271351.9,15484985.24,3871246.31,11613738.93
USA,Accounting,2023-05-01,51094097.5,30993766.32,20100331.18,32392918.97,561332.8,18139845.73,4534961.43,13604884.3
USA,Accounting,2023-06-01,49708927.73,29963216.01,19745711.72,35232120.37,1093444.81,13383362.55,3345840.64,10037521.91
USA,Accounting,2023-07-01,46972568.89,28526041.26,18446527.63,32957477.78,2062524.7,11952566.41,2988141.6,8964424.81
USA,Accounting,2023-08-01,44875861.75,26542093.96,18333767.79,33710883.77,1630177.28,9534800.7,2383700.17,7151100.53
USA,Accounting,2023-09-01,42052570.53,25207391.24,16845179.29,32354404.94,658856.44,9039309.15,2259827.29,6779481.86
USA,Accounting,2023-10-01,43281514.49,26490112.42,16791402.07,34081464.52,1644054.67,7555995.3,1888998.82,5666996.48
USA,Accounting,2023-11-01,42995812.45,25502910.15,17492902.3,33386649.4,601975.23,9007187.82,2251796.96,6755390.86
USA,Accounting,2023-12-01,45658112.72,27637498.6,18020614.12,33399048.44,1161215.09,11097849.19,2774462.3,8323386.89
USA,Accounting,2024-01-01,48944944.52,29755107.61,19189836.91,35302731.23,779529.55,12862683.74,3215670.94,9647012.8
USA,Accounting,2024-02-01,49220019.36,29730505.12,19489514.24,33912946.36,1635164.0,13671909.0,3417977.25,10253931.75
USA,Accounting,2024-03-01,51356846.29,30037390.9,21319455.39,34894603.82,1426650.84,15035591.63,3758897.91,11276693.72
USA,Accounting,2024-04-01,54247380.84,33255687.91,20991692.93,33175631.51,2457241.85,18614507.48,4653626.87,13960880.61
USA,Accounting,2024-05-01,51533264.43,31488142.0,20045122.43,33301390.38,1547313.84,16684560.21,4171140.05,12513420.16
USA,Accounting,2024-06-01,51531666.71,31715158.1,19816508.61,35932456.56,1597596.38,14001613.77,3500403.44,10501210.33
USA,Accounting,2024-07-01,48079609.7,29243260.1,18836349.6,33398129.65,1742276.94,12939203.11,3234800.78,9704402.33
USA,Accounting,2024-08-01,46425412.98,27970503.6,18454909.38,35910269.91,724309.42,9790833.65,2447708.41,7343125.24
USA,Accounting,2024-09-01,45666069.07,27535127.09,18130941.98,36200064.6,581256.19,8884748.28,2221187.07,6663561.21
USA,Accounting,2024-10-01,44913064.51,27323715.82,17589348.69,36401132.35,1537539.12,6974393.04,1743598.26,5230794.78
USA,Accounting,2024-11-01,44295563.43,26009739.75,18285823.68,34878611.26,1610418.54,7806533.63,1951633.41,5854900.22
USA,Accounting,2024-12-01,46353900.05,27321254.51,19032645.54,35226987.68,1540293.22,9586619.15,2396654.79,7189964.36
USA,Human Resources,2020-01-01,29900954.59,17969156.51,11931798.08,22661129.86,576136.75,6663687.98,1665922.0,4997765.98
USA,Human Resources,2020-02-01,33258846.5,20086376.44,13172470.06,22587614.67,763169.97,9908061.86,2477015.46,7431046.4
USA,Human Resources,2020-03-01,33970217.33,19939387.02,14030830.31,23161748.71,1420777.07,9387691.55,2346922.89,7040768.66
USA,Human Resources,2020-04-01,34346521.63,19963358.39,14383163.24,22786593.9,871142.45,10688785.28,2672196.32,8016588.96
USA,Human Resources,2020-05-01,35838068.01,21544759.69,14293308.32,21344683.73,717454.97,13775929.31,3443982.33,10331946.98
USA,Human Resources,2020-06-01,32606500.13,18996235.58,13610264.55,22236084.62,814278.36,9556137.15,2389034.29,7167102.86
USA,Human Resources,2020-07-01,31331140.04,19256239.44,12074900.6,21680704.92,448237.08,9202198.04,2300549.51,6901648.53
USA,Human Resources,2020-08-01,29619666.47,18000695.33,11618971.14,22763977.18,955492.79,5900196.5,1475049.12,4425147.38
USA,Human Resources,2020-09-01,28508127.31,16898942.37,11609184.94,22902145.27,542220.64,5063761.4,1265940.35,3797821.05
USA,Human Resources,2020-10-01,29020115.63,17624127.64,11395987.99,22608347.33,1207241.71,5204526.59,1301131.65,3903394.94
USA,Human Resources,2020-11-01,27883807.93,16773522.25,11110285.68,23627005.34,386141.79,3870660.8,967665.2,2902995.6
USA,Human Resources,2020-12-01,29103222.3,17383652.63,11719569.67,21512832.58,1192516.96,6397872.76,1599468.19,4798404.57
USA,Human Resources,2021-01-01,32652121.18,19363414.14,13288707.04,22315685.52,1217742.84,9118692.82,2279673.2,6839019.62
USA,Human Resources,2021-02-01,34955938.35,21159270.69,13796667.66,22785164.15,615415.93,11555358.27,2888839.57,8666518.7
USA,Human Resources,2021-03-01,34809866.92,20365550.13,14444316.79,22767420.3,844466.75,11197979.87,2799494.97,8398484.9
USA,Human Resources,2021-04-01,36817405.96,22129881.79,14687524.17,23497708.86,1014508.13,12305188.97,3076297.24,9228891.73
USA,Human Resources,2021-05-01,35890799.89,21325129.59,14565670.3,23012107.64,541509.45,12337182.8,3084295.7,9252887.1
USA,Human Resources,2021-06-01,33477445.53,20426043.8,13051401.73,22895408.31,403709.88,10178327.34,2544581.84,7633745.5
USA,Human Resources,2021-07-01,31888610.55,19536321.11,12352289.44,23679858.96,688661.94,7520089.65,1880022.41,5640067.24
USA,Human Resources,2021-08-01,31339545.3,19127996.2,12211549.1,22660306.26,1407073.55,7272165.49,1818041.37,5454124.12
USA,Human Resources,2021-09-01,28872522.0,17230593.01,11641928.99,23110511.81,567516.45,5194493.74,1298623.44,3895870.3
USA,Human Resources,2021-10-01,29517106.57,17644399.61,11872706.96,22642252.83,1025595.38,5849258.36,1462314.59,4386943.77
USA,Human Resources,2021-11-01,30399453.62,17991898.5,12407555.12,23311179.68,1443277.15,5644996.79,1411249.2,4233747.59
USA,Human Resources,2021-12-01,32200674.41,19568026.7,12632647.71,22080658.42,864788.65,9255227.34,2313806.84,6941420.5
USA,Human Resources,2022-01-01,32724387.89,19093341.97,13631045.92,22185812.42,594580.28,9943995.19,2485998.8,7457996.39
USA,Human Resources,2022-02-01,34931358.95,21362302.98,13569055.97,23851079.31,1624056.04,9456223.6,2364055.9,7092167.7
USA,Human Resources,2022-03-01,34832860.26,20529395.41,14303464.85,24009074.65,1133957.57,9689828.04,2422457.01,7267371.03
USA,Human Resources,2022-04-01,37017609.04,22014588.37,15003020.67,24058980.04,882271.14,12076357.86,3019089.46,9057268.4
USA,Human Resources,2022-05-01,34872402.48,20625631.05,14246771.43,23945147.7,1645089.67,9282165.11,2320541.28,6961623.83
USA,Human Resources,2022-06-01,35552606.13,21672690.4,13879915.73,22561688.15,1384176.41,11606741.57,2901685.39,8705056.18
USA,Human Resources,2022-07-01,32387567.24,19119953.39,13267613.85,22829174.22,777635.44,8780757.58,2195189.4,6585568.18
USA,Human Resources,2022-08-01,31893978.51,18906012.17,12987966.34,24403779.4,609500.48,6880698.63,1720174.66,5160523.97
USA,Human Resources,2022-09-01,30631978.35,19039856.96,11592121.39,24226770.05,546688.04,5858520.26,1464630.06,4393890.2
USA,Human Resources,2022-10-01,30081294.18,18213648.85,11867645.33,24040423.34,322585.62,5718285.22,1429571.3,4288713.92
USA,Human Resources,2022-11-01,30365027.87,18288673.37,12076354.5,23360928.9,455763.76,6548335.21,1637083.8,4911251.41
USA,Human Resources,2022-12-01,32266117.66,19475586.97,12790530.69,22784693.57,474947.65,9006476.44,2251619.11,6754857.33
USA,Human Resources,2023-01-01,34330466.28,20366423.09,13964043.19,23388031.81,814491.19,10127943.28,2531985.82,7595957.46
USA,Human Resources,2023-02-01,35815243.5,22065147.61,13750095.89,22813757.44,372549.66,12628936.4,3157234.1,9471702.3
USA,Human Resources,2023-03-01,36776879.42,21767923.71,15008955.71,24561749.73,1156585.16,11058544.53,2764636.13,8293908.4
USA,Human Resources,2023-04-01,36554595.52,21259296.97,15295298.55,24763819.69,730978.45,11059797.38,2764949.34,8294848.04
USA,Human Resources,2023-05-01,35106004.22,21063804.48,14042199.74,23770089.88,747892.67,10588021.67,2647005.42,7941016.25
USA,Human Resources,2023-06-01,35311502.27,20940846.26,14370656.01,24896846.66,1762875.63,8651779.98,2162945.0,6488834.98
USA,Human Resources,2023-07-01,33039033.74,19605088.93,13433944.81,24383915.16,1198114.68,7457003.9,1864250.98,5592752.92
USA,Human Resources,2023-08-01,32039912.77,18555845.56,13484067.21,23342516.55,1224251.71,7473144.51,1868286.13,5604858.38
USA,Human Resources,2023-09-01,32187155.31,19249419.93,12937735.38,24958613.6,892925.55,6335616.16,1583904.04,4751712.12
USA,Human Resources,2023-10-01,30180528.24,18060992.05,12119536.19,24262586.18,1350845.37,4567096.69,1141774.17,3425322.52
USA,Human Resources,2023-11-01,31233347.73,18253869.0,12979478.73,23744741.4,988746.81,6499859.52,1624964.88,4874894.64
USA,Human Resources,2023-12-01,31560567.9,18747191.85,12813376.05,24011058.3,1515618.58,6033891.02,1508472.76,4525418.26
USA,Human Resources,2024-01-01,33700321.81,20555932.97,13144388.84,25271472.67,1471255.42,6957593.72,1739398.43,5218195.29
USA,Human Resources,2024-02-01,35852184.54,21698440.76,14153743.78,24444453.02,534553.27,10873178.25,2718294.56,8154883.69
USA,Human Resources,2024-03-01,38350166.16,22953502.89,15396663.27,23229330.1,744154.67,14376681.39,3594170.35,10782511.04
USA,Human Resources,2024-04-01,38209537.73,22630743.84,15578793.89,25509867.19,414634.09,12285036.45,3071259.11,9213777.34
USA,Human Resources,2024-05-01,37963134.92,23287989.61,14675145.31,24664270.24,835815.89,12463048.79,3115762.2,9347286.59
USA,Human Resources,2024-06-01,36725460.28,22825153.49,13900306.79,25361279.34,931264.04,10432916.9,2608229.22,7824687.68
USA,Human Resources,2024-07-01,33518683.34,19808437.45,13710245.89,24399758.19,636115.5,8482809.65,2120702.41,6362107.24
USA,Human Resources,2024-08-01,32980327.18,19565907.14,13414420.04,24661278.21,1201014.84,7118034.13,1779508.53,5338525.6
USA,Human Resources,2024-09-01,31233952.59,18182058.39,13051894.2,25702393.68,1449322.87,4082236.04,1020559.01,3061677.03
USA,Human Resources,2024-10-01,31657164.55,19309334.48,12347830.07,25479554.49,649013.33,5528596.73,1382149.18,4146447.55
USA,Human Resources,2024-11-01,32031133.91,19629736.99,12401396.92,23546148.43,1250221.64,7234763.84,1808690.96,5426072.88
USA,Human Resources,2024-12-01,33974865.71,20190061.52,13784804.19,25458280.39,1601665.51,6914919.81,1728729.95,5186189.86
USA,Facilities,2020-01-01,39685576.07,23439073.79,16246502.28,28451938.12,853110.47,10380527.48,2595131.87,7785395.61
USA,Facilities,2020-02-01,42143513.7,25733654.03,16409859.67,27118886.66,1633853.78,13390773.26,3347693.32,10043079.94
USA,Facilities,2020-03-01,42669576.33,26119518.16,16550058.17,28641955.1,1224330.91,12803290.32,3200822.58,9602467.74
USA,Facilities,2020-04-01,43820996.33,27071129.73,16749866.6,28554717.65,930232.34,14336046.34,3584011.58,10752034.76
USA,Facilities,2020-05-01,42643235.01,26002908.87,16640326.14,28861908.49,1742128.31,12039198.21,3009799.55,9029398.66
USA,Facilities,2020-06-01,40821282.56,24220535.63,16600746.93,26274284.14,856054.76,13690943.66,3422735.92,10268207.74
USA,Facilities,2020-07-01,38386261.51,23048965.93,15337295.58,28022109.65,1568560.81,8795591.05,2198897.76,6596693.29
USA,Facilities,2020-08-01,36047565.34,21363919.89,14683645.45,28098908.57,1565905.94,6382750.83,1595687.71,4787063.12
USA,Facilities,2020-09-01,36731727.71,22388494.35,14343233.36,26371239.66,380350.73,9980137.32,2495034.33,7485102.99
USA,Facilities,2020-10-01,34411533.96,20372029.55,14039504.41,28145803.95,1110265.31,5155464.7,1288866.18,3866598.52
USA,Facilities,2020-11-01,36119399.1,21523098.89,14596300.21,26648314.07,1657222.01,7813863.02,1953465.76,5860397.26
USA,Facilities,2020-12-01,38527783.47,22752817.41,15774966.06,27706462.63,782895.28,10038425.56,2509606.39,7528819.17
USA,Facilities,2021-01-01,40092467.84,24558938.66,15533529.18,27912855.39,765636.11,11413976.34,2853494.08,8560482.26
USA,Facilities,2021-02-01,41665815.36,24299483.06,17366332.3,28418013.57,804437.65,12443364.14,3110841.04,9332523.1
USA,Facilities,2021-03-01,43259916.99,26445923.84,16813993.15,28054945.27,1194508.19,14010463.53,3502615.88,10507847.65
USA,Facilities,2021-04-01,43637680.43,25933166.7,17704513.73,27326452.86,2097582.64,14213644.93,3553411.23,10660233.7
USA,Facilities,2021-05-01,45689025.8,27430868.39,18258157.41,26783302.26,2001053.05,16904670.49,4226167.62,12678502.87
USA,Facilities,2021-06-01,43140862.84,26197350.69,16943512.15,26915901.15,836409.63,15388552.06,3847138.02,11541414.04
USA,Facilities,2021-07-01,39324061.01,23210120.4,16113940.61,27161362.03,515066.91,11647632.07,2911908.02,8735724.05
USA,Facilities,2021-08-01,37745327.02,22310313.79,15435013.23,29240582.89,1405660.53,7099083.6,1774770.9,5324312.7
USA,Facilities,2021-09-01,35854723.84,21198266.67,14656457.17,27748131.14,393963.96,7712628.74,1928157.18,5784471.56
USA,Facilities,2021-10-01,36471289.96,22098516.55,14372773.41,29768054.13,1673874.98,5029360.85,1257340.21,3772020.64
USA,Facilities,2021-11-01,37431805.91,21954166.36,15477639.55,27886113.6,420969.18,9124723.13,2281180.78,6843542.35
USA,Facilities,2021-12-01,37985106.17,22862818.77,15122287.4,27528746.92,1278164.54,9178194.71,2294548.68,6883646.03
USA,Facilities,2022-01-01,39291109.08,23471801.0,15819308.08,28047384.03,1517843.79,9725881.26,2431470.32,7294410.94
USA,Facilities,2022-02-01,43948903.74,26326751.05,17622152.69,29245593.28,2091862.05,12611448.41,3152862.1,9458586.31
USA,Facilities,2022-03-01,44242850.02,26328398.93,17914451.09,29141260.15,708017.77,14393572.1,3598393.02,10795179.08
USA,Facilities,2022-04-01,46030766.18,27741072.98,18289693.2,30053613.48,2225357.7,13751795.0,3437948.75,10313846.25
USA,Facilities,2022-05-01,46021468.27,28069727.32,17951740.95,30233424.91,1620552.81,14167490.55,3541872.64,10625617.91
USA,Facilities,2022-06-01,43840616.83,26506376.76,17334240.07,27761403.71,1978929.68,14100283.44,3525070.86,10575212.58
USA,Facilities,2022-07-01,42102949.99,25450685.08,16652264.91,29369048.63,1297336.72,11436564.64,2859141.16,8577423.48
USA,Facilities,2022-08-01,38295017.52,23091720.18,15203297.34,29181302.77,1778527.11,7335187.64,1833796.91,5501390.73
USA,Facilities,2022-09-01,37827862.58,22270444.12,15557418.46,30403448.77,727642.7,6696771.11,1674192.78,5022578.33
USA,Facilities,2022-10-01,37570618.78,21954014.61,15616604.17,29633772.58,1044474.45,6892371.75,1723092.94,5169278.81
USA,Facilities,2022-11-01,38810540.95,23784580.12,15025960.83,27902769.41,1258171.18,9649600.36,2412400.09,7237200.27
USA,Facilities,2022-12-01,38277815.92,22695706.25,15582109.67,29135311.8,735469.7,8407034.42,2101758.6,6305275.82
USA,Facilities,2023-01-01,41921107.41,25709060.28,16212047.13,30194517.26,2073828.75,9652761.4,2413190.35,7239571.05
USA,Facilities,2023-02-01,44492438.92,27411422.04,17081016.88,30489406.87,1644627.64,12358404.41,3089601.1,9268803.31
USA,Facilities,2023-03-01,46076248.91,27711560.97,18364687.94,30213381.03,1090296.39,14772571.49,3693142.87,11079428.62
USA,Facilities,2023-04-01,44853011.06,26590508.96,18262502.1,29414507.31,714775.03,14723728.72,3680932.18,11042796.54
USA,Facilities,2023-05-01,46280992.6,27344788.82,18936203.78,28565063.97,795877.03,16920051.6,4230012.9,12690038.7
USA,Facilities,2023-06-01,43436511.73,26366304.84,17070206.89,29268694.85,1764407.71,12403409.17,3100852.29,9302556.88
