country,department,month,budgeted_revenue,budgeted_expenses,budgeted_net_income,budgeted_tax,budgeted_net_profit_after_tax,variance_revenue,variance_expenses,variance_net_profit
USA,Cloud Ops,2025-01-01,25893226.09,18503276.34,7389949.75,1847487.44,5542462.31,-228932.8,-629538.02,400605.22
USA,Cloud Ops,2025-02-01,26568545.18,18102303.35,8466241.83,2116560.46,6349681.37,-121062.77,-889870.73,768807.96
USA,Cloud Ops,2025-03-01,25764275.16,18357648.84,7406626.32,1851656.58,5554969.74,1268865.71,110171.02,1158694.69
USA,Cloud Ops,2025-04-01,25896073.51,18472105.59,7423967.92,1855991.98,5567975.94,-1017242.12,-708967.98,-308274.14
USA,Cloud Ops,2025-05-01,26267362.88,18062568.53,8204794.35,2051198.59,6153595.76,-849251.71,237607.07,-1086858.78
USA,Cloud Ops,2025-06-01,26248694.34,18481111.53,7767582.81,1941895.7,5825687.11,-559452.35,676921.66,-1236374.01
USA,Cloud Ops,2025-07-01,26400734.79,18771575.71,7629159.08,1907289.77,5721869.31,-1159435.11,190747.45,-1350182.56
USA,Cloud Ops,2025-08-01,26288681.41,18367879.57,7920801.84,1980200.46,5940601.38,-240808.24,-819607.65,578799.41
USA,Cloud Ops,2025-09-01,26268567.77,18405336.24,7863231.53,1965807.88,5897423.65,-936936.07,-760755.27,-176180.8
USA,Cloud Ops,2025-10-01,26304816.39,18934256.84,7370559.55,1842639.89,5527919.66,1071593.4,-567073.73,1638667.13
USA,Cloud Ops,2025-11-01,27255348.55,18756728.65,8498619.9,2124654.98,6373964.92,1336071.33,238485.62,1097585.71
USA,Cloud Ops,2025-12-01,26435806.07,18452489.11,7983316.96,1995829.24,5987487.72,-1244161.38,746309.87,-1990471.25
USA,Cloud Ops,2026-01-01,27459898.68,18977023.39,8482875.29,2120718.82,6362156.47,-1341338.21,446773.29,-1788111.5
USA,Cloud Ops,2026-02-01,26986086.74,18737440.79,8248645.95,2062161.49,6186484.46,1229810.73,509478.27,720332.46
USA,Cloud Ops,2026-03-01,27384502.47,19282393.16,8102109.31,2025527.33,6076581.98,-661202.1,-227849.11,-433352.99
USA,Cloud Ops,2026-04-01,26718257.7,19263335.32,7454922.38,1863730.59,5591191.79,414377.63,758654.97,-344277.34
USA,Cloud Ops,2026-05-01,27812861.26,18971204.61,8841656.65,2210414.16,6631242.49,-782200.5,254238.97,-1036439.47
USA,Cloud Ops,2026-06-01,27240392.12,19443472.48,7796919.64,1949229.91,5847689.73,-1070354.2,-800852.16,-269502.04
USA,Cloud Ops,2026-07-01,27157615.25,19039229.22,8118386.03,2029596.51,6088789.52,595236.53,568415.39,26821.14
USA,Cloud Ops,2026-08-01,28056739.47,19552664.8,8504074.67,2126018.67,6378056.0,-535525.59,675240.12,-1210765.71
USA,Cloud Ops,2026-09-01,27337469.64,19135115.35,8202354.29,2050588.57,6151765.72,1260537.63,-797792.41,2058330.04
USA,Cloud Ops,2026-10-01,28233870.22,19332158.28,8901711.94,2225427.98,6676283.96,-950967.85,-352134.64,-598833.21
USA,Cloud Ops,2026-11-01,27316864.4,19498718.53,7818145.87,1954536.47,5863609.4,890666.8,327926.53,562740.27
USA,Cloud Ops,2026-12-01,27484731.7,19377834.87,8106896.83,2026724.21,6080172.62,-1363810.67,-209310.42,-1154500.25
USA,Modeling,2025-01-01,24238232.59,17020700.69,7217531.9,1804382.98,5413148.92,686358.08,770533.15,-84175.07
USA,Modeling,2025-02-01,24235417.67,16631527.6,7603890.07,1900972.52,5702917.55,-1026155.7,709497.32,-1735653.02
USA,Modeling,2025-03-01,24330334.81,17090501.86,7239832.95,1809958.24,5429874.71,-221966.2,78236.23,-300202.43
USA,Modeling,2025-04-01,24048390.71,17114749.77,6933640.94,1733410.24,5200230.7,697660.44,-353502.06,1051162.5
USA,Modeling,2025-05-01,24077888.37,16648323.31,7429565.06,1857391.26,5572173.8,-819506.12,-732377.18,-87128.94
USA,Modeling,2025-06-01,23898373.93,16653198.62,7245175.31,1811293.83,5433881.48,-208439.35,720499.6,-928938.95
USA,Modeling,2025-07-01,24549696.63,16898817.47,7650879.16,1912719.79,5738159.37,161108.14,833824.36,-672716.22
USA,Modeling,2025-08-01,24784798.53,16827154.51,7957644.02,1989411.0,5968233.02,-462962.67,-383869.07,-79093.6
USA,Modeling,2025-09-01,24112019.02,16827318.08,7284700.94,1821175.24,5463525.7,545071.97,637259.18,-92187.21
USA,Modeling,2025-10-01,24715477.49,17216185.94,7499291.55,1874822.89,5624468.66,1105954.05,-601161.86,1707115.91
USA,Modeling,2025-11-01,24377762.93,17328182.93,7049580.0,1762395.0,5287185.0,837319.19,181254.95,656064.24
USA,Modeling,2025-12-01,24857223.62,17051248.9,7805974.72,1951493.68,5854481.04,-604582.59,487076.97,-1091659.56
USA,Modeling,2026-01-01,24204749.18,17264430.87,6940318.31,1735079.58,5205238.73,462205.12,519710.9,-57505.78
USA,Modeling,2026-02-01,24894282.04,17097658.83,7796623.21,1949155.8,5847467.41,-936710.12,291652.92,-1228363.04
USA,Modeling,2026-03-01,24936015.91,17625543.63,7310472.28,1827618.07,5482854.21,116456.13,-739730.23,856186.36
USA,Modeling,2026-04-01,24544042.0,17309090.08,7234951.92,1808737.98,5426213.94,876650.66,-122834.83,999485.49
USA,Modeling,2026-05-01,24774265.34,17420703.93,7353561.41,1838390.35,5515171.06,214939.93,-370189.59,585129.52
USA,Modeling,2026-06-01,25413772.74,17586863.2,7826909.54,1956727.39,5870182.15,-816366.37,-765427.99,-50938.38
USA,Modeling,2026-07-01,25127123.29,17696315.1,7430808.19,1857702.05,5573106.14,-201581.23,-843761.89,642180.66
USA,Modeling,2026-08-01,25086165.62,17515348.2,7570817.42,1892704.35,5678113.07,687690.78,-267430.12,955120.9
USA,Modeling,2026-09-01,24847446.42,17452323.61,7395122.81,1848780.7,5546342.11,-1133683.63,-713611.51,-420072.12
USA,Modeling,2026-10-01,25643916.07,17694026.09,7949889.98,1987472.5,5962417.48,-779387.02,441911.62,-1221298.64
USA,Modeling,2026-11-01,24971759.74,17997330.66,6974429.08,1743607.27,5230821.81,-631449.51,-847120.68,215671.17
USA,Modeling,2026-12-01,25679715.95,17564875.38,8114840.57,2028710.14,6086130.43,285817.22,792284.5,-506467.28
USA,Engineering,2025-01-01,23824127.75,16752375.2,7071752.55,1767938.14,5303814.41,508716.53,237649.24,271067.29
USA,Engineering,2025-02-01,24152059.58,16741669.62,7410389.96,1852597.49,5557792.47,-1066424.13,-563933.66,-502490.47
USA,Engineering,2025-03-01,24703128.76,16893490.51,7809638.25,1952409.56,5857228.69,233875.64,85749.31,148126.33
USA,Engineering,2025-04-01,24381063.3,17220128.94,7160934.36,1790233.59,5370700.77,1116570.68,-722932.17,1839502.85
USA,Engineering,2025-05-01,24663433.54,16877833.27,7785600.27,1946400.07,5839200.2,-1200600.32,-341246.12,-859354.2
USA,Engineering,2025-06-01,24862830.29,17466673.66,7396156.63,1849039.16,5547117.47,-644688.56,437037.92,-1081726.48
USA,Engineering,2025-07-01,24504576.68,17023899.07,7480677.61,1870169.4,5610508.21,790605.05,445902.88,344702.17
USA,Engineering,2025-08-01,24634204.25,17037062.37,7597141.88,1899285.47,5697856.41,613921.36,655289.89,-41368.53
USA,Engineering,2025-09-01,24906661.7,17670847.39,7235814.31,1808953.58,5426860.73,-857815.11,861798.08,-1719613.19
USA,Engineering,2025-10-01,24581173.67,17604753.12,6976420.55,1744105.14,5232315.41,1174412.99,863731.94,310681.05
USA,Engineering,2025-11-01,25016978.89,17336236.7,7680742.19,1920185.55,5760556.64,204724.99,-372910.52,577635.51
USA,Engineering,2025-12-01,25344926.89,17533002.81,7811924.08,1952981.02,5858943.06,60532.54,644049.79,-583517.25
USA,Engineering,2026-01-01,25361747.73,17698036.48,7663711.25,1915927.81,5747783.44,-1072697.15,810931.84,-1883628.99
USA,Engineering,2026-02-01,24854332.71,17543749.6,7310583.11,1827645.78,5482937.33,-831008.41,-667750.45,-163257.96
USA,Engineering,2026-03-01,25058372.07,17473110.67,7585261.4,1896315.35,5688946.05,71377.59,641662.15,-570284.56
USA,Engineering,2026-04-01,25101426.58,17934185.63,7167240.95,1791810.24,5375430.71,-71102.67,501062.54,-572165.21
USA,Engineering,2026-05-01,25330021.03,17495190.02,7834831.01,1958707.75,5876123.26,-692275.54,-678898.9,-13376.64
USA,Engineering,2026-06-01,25217070.2,17810001.41,7407068.79,1851767.2,5555301.59,132452.18,21346.56,111105.62
USA,Engineering,2026-07-01,25658198.63,17891814.2,7766384.43,1941596.11,5824788.32,859009.68,-662393.46,1521403.14
USA,Engineering,2026-08-01,25144528.08,18033093.13,7111434.95,1777858.74,5333576.21,649151.46,241180.47,407970.99
USA,Engineering,2026-09-01,25401056.16,18001692.84,7399363.32,1849840.83,5549522.49,698259.62,63858.9,634400.72
USA,Engineering,2026-10-01,25576302.16,18310179.14,7266123.02,1816530.75,5449592.27,-1175695.6,692686.27,-1868381.87
USA,Engineering,2026-11-01,25724954.87,17831772.63,7893182.24,1973295.56,5919886.68,1036556.86,-566941.28,1603498.14
USA,Engineering,2026-12-01,25516456.94,17815737.62,7700719.32,1925179.83,5775539.49,568493.45,87370.12,481123.33
USA,Platform & Software,2025-01-01,41055051.99,24372803.93,16682248.06,4170562.02,12511686.04,-1355980.88,-592519.53,-763461.35
USA,Platform & Software,2025-02-01,41013063.07,24608031.83,16405031.24,4101257.81,12303773.43,1099282.83,-705543.58,1804826.41
USA,Platform & Software,2025-03-01,40368958.77,24673707.42,15695251.35,3923812.84,11771438.51,1898462.81,-933797.0,2832259.81
USA,Platform & Software,2025-04-01,40798062.31,25351898.02,15446164.29,3861541.07,11584623.22,-471414.37,428167.37,-899581.74
USA,Platform & Software,2025-05-01,40588791.67,24987961.77,15600829.9,3900207.48,11700622.42,-179025.33,-253850.74,74825.41
USA,Platform & Software,2025-06-01,40855922.84,25098866.78,15757056.06,3939264.02,11817792.04,-234986.88,458403.41,-693390.29
USA,Platform & Software,2025-07-01,40310695.02,25406495.62,14904199.4,3726049.85,11178149.55,-1538279.63,198333.74,-1736613.37
USA,Platform & Software,2025-08-01,41937388.26,25797629.89,16139758.37,4034939.59,12104818.78,826088.79,1134071.66,-307982.87
USA,Platform & Software,2025-09-01,41995876.14,25016723.32,16979152.82,4244788.21,12734364.61,-1869157.86,-962042.92,-907114.94
USA,Platform & Software,2025-10-01,41230374.86,25303013.15,15927361.71,3981840.43,11945521.28,-1462888.25,-1081198.69,-381689.56
USA,Platform & Software,2025-11-01,41473290.53,25081646.91,16391643.62,4097910.9,12293732.72,-1254048.84,-1137651.68,-116397.16
USA,Platform & Software,2025-12-01,42361142.63,25979576.9,16381565.73,4095391.43,12286174.3,96082.45,-628633.93,724716.38
USA,Platform & Software,2026-01-01,42218238.2,25508158.42,16710079.78,4177519.94,12532559.84,-1216386.36,632749.26,-1849135.62
USA,Platform & Software,2026-02-01,41219646.56,25846415.62,15373230.94,3843307.73,11529923.21,-1145364.59,-938344.94,-207019.65
USA,Platform & Software,2026-03-01,42059746.12,25667034.3,16392711.82,4098177.96,12294533.86,-1825567.9,-1222815.79,-602752.11
USA,Platform & Software,2026-04-01,41775903.42,25548132.47,16227770.95,4056942.74,12170828.21,-312958.4,790379.8,-1103338.2
USA,Platform & Software,2026-05-01,41512655.52,25526031.12,15986624.4,3996656.1,11989968.3,1486782.62,-1156710.26,2643492.88
USA,Platform & Software,2026-06-01,41676111.27,26534833.83,15141277.44,3785319.36,11355958.08,-512378.66,582957.44,-1095336.1
USA,Platform & Software,2026-07-01,42920976.62,26403982.09,16516994.53,4129248.63,12387745.9,2099530.03,523553.7,1575976.33
USA,Platform & Software,2026-08-01,42430861.79,26563023.79,15867838.0,3966959.5,11900878.5,-1141015.1,976817.9,-2117833.0
USA,Platform & Software,2026-09-01,42910410.03,26149553.5,16760856.53,4190214.13,12570642.4,-815906.29,-1070261.42,254355.13
USA,Platform & Software,2026-10-01,41984393.86,25893080.45,16091313.41,4022828.35,12068485.06,-1601740.13,675949.37,-2277689.5
USA,Platform & Software,2026-11-01,43664688.21,26393541.98,17271146.23,4317786.56,12953359.67,1173302.53,-909341.73,2082644.26
USA,Platform & Software,2026-12-01,43087097.82,26879669.06,16207428.76,4051857.19,12155571.57,1237625.17,955633.33,281991.84
UK,Finance,2025-01-01,10524342.05,6445302.84,4079039.21,1019759.8,3059279.41,278809.16,234755.57,44053.59
UK,Finance,2025-02-01,10381051.89,6581705.38,3799346.51,949836.63,2849509.88,421297.17,268275.16,153022.01
UK,Finance,2025-03-01,10493541.51,6425858.57,4067682.94,1016920.73,3050762.21,-278907.61,-82176.44,-196731.17
UK,Finance,2025-04-01,10623714.4,6551975.59,4071738.81,1017934.7,3053804.11,-168528.06,-157511.24,-11016.82
UK,Finance,2025-05-01,10576051.53,6685032.77,3891018.76,972754.69,2918264.07,-480560.5,114612.61,-595173.11
UK,Finance,2025-06-01,10702140.92,6499765.43,4202375.49,1050593.87,3151781.62,250806.81,-312729.21,563536.02
UK,Finance,2025-07-01,10604223.69,6553855.06,4050368.63,1012592.16,3037776.47,273990.22,224519.24,49470.98
UK,Finance,2025-08-01,10667289.78,6569845.59,4097444.19,1024361.05,3073083.14,291392.07,-20653.09,312045.16
UK,Finance,2025-09-01,10555324.33,6531840.58,4023483.75,1005870.94,3017612.81,-420370.41,-25674.99,-394695.42
UK,Finance,2025-10-01,10596804.6,6667085.92,3929718.68,982429.67,2947289.01,-400026.15,-77155.47,-322870.68
UK,Finance,2025-11-01,10715351.22,6727295.39,3988055.83,997013.96,2991041.87,33816.19,95001.08,-61184.89
UK,Finance,2025-12-01,10731938.78,6750172.93,3981765.85,995441.46,2986324.39,-470915.94,-271557.68,-199358.26
UK,Finance,2026-01-01,10801480.04,6854281.29,3947198.75,986799.69,2960399.06,32486.83,189395.23,-156908.4
UK,Finance,2026-02-01,11081825.45,6690074.48,4391750.97,1097937.74,3293813.23,-473309.23,-132654.74,-340654.49
UK,Finance,2026-03-01,11095441.52,6820104.05,4275337.47,1068834.37,3206503.1,190529.75,-79575.17,270104.92
UK,Finance,2026-04-01,10826807.03,6695128.17,4131678.86,1032919.71,3098759.15,-260319.57,168543.69,-428863.26
UK,Finance,2026-05-01,11088260.57,6776958.53,4311302.04,1077825.51,3233476.53,-390860.55,-33296.38,-357564.17
UK,Finance,2026-06-01,11062492.42,6914006.16,4148486.26,1037121.56,3111364.7,549840.94,-35472.39,585313.33
UK,Finance,2026-07-01,11038105.52,6742758.24,4295347.28,1073836.82,3221510.46,-60356.85,264564.25,-324921.1
UK,Finance,2026-08-01,11182570.08,6764066.36,4418503.72,1104625.93,3313877.79,498290.18,243281.01,255009.17
UK,Finance,2026-09-01,11224646.18,7003262.97,4221383.21,1055345.8,3166037.41,-327483.75,33958.72,-361442.47
UK,Finance,2026-10-01,11352176.44,6894124.2,4458052.24,1114513.06,3343539.18,217540.12,-97803.81,315343.93
UK,Finance,2026-11-01,11027980.9,7029073.91,3998906.99,999726.75,2999180.24,-75831.29,2776.27,-78607.56
UK,Finance,2026-12-01,11216109.65,6815403.49,4400706.16,1100176.54,3300529.62,444069.16,132275.14,311794.02
UK,Accounting,2025-01-01,41593052.02,26231744.73,15361307.29,3840326.82,11520980.47,379835.15,-698404.6,1078239.75
UK,Accounting,2025-02-01,40276850.82,25630285.72,14646565.1,3661641.27,10984923.83,-521519.51,-678389.99,156870.48
UK,Accounting,2025-03-01,40312589.03,26176477.5,14136111.53,3534027.88,10602083.65,755071.58,1161163.01,-406091.43
UK,Accounting,2025-04-01,41419383.52,25586535.34,15832848.18,3958212.04,11874636.14,-1242520.22,-209502.43,-1033017.79
UK,Accounting,2025-05-01,40681736.34,26454013.83,14227722.51,3556930.63,10670791.88,391281.78,-133931.29,525213.07
